Tiempo en Meses desde el Ultimo Mantenimiento,Horas de Uso Totales,Ciclos de Encendido/Apagado,Condiciones Ambientales - Optimo,Condiciones Ambientales - Aceptable,Condiciones Ambientales - Critico,Tipo de Aplicaciones - Bajo Uso,Tipo de Aplicaciones - Mediano Uso,Tipo de Aplicaciones - Alto Uso,Refrigeracion Adicional,Carga de Trabajo Promedio (%),Proximo Mantenimiento en Meses
1.0,1200.0,150.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,75.0,6.0
2.0,950.0,100.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,65.0,3.0
3.0,800.0,80.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,70.0,2.0
2.0,600.0,120.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,5.0
4.0,400.0,50.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,55.0,4.0
7.0,4760.0,789.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,25.0,4.0
2.0,2011.0,898.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,39.0,6.0
10.0,4560.0,524.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,53.0,1.0
10.0,4163.0,646.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,41.0,1.0
10.0,4993.0,740.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,94.0,1.0
3.0,4318.0,763.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,84.0,4.0
12.0,4437.0,504.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,38.0,1.0
9.0,3801.0,795.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,80.0,1.0
11.0,2309.0,383.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,51.0,1.0
0.97560771898228,6109.936362985873,886.3165145241456,0.0,0.0,0.9540469970754308,0.0,0.0,0.90883619396082,1.068885049064685,49.941936125969576,0.9301038972481387
10.0,2018.0,822.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,65.0,4.0
9.0,2880.0,554.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,28.0,1.0
5.211554765345621,6065.977604846938,650.6298315548288,0.0,1.08960606214741,0.0,0.0,0.0,0.9300635214624006,1.0371809264993743,51.60219590314624,0.9921977739178678
9.063292980813952,3850.4904546501057,738.6417777740794,0.0,0.0,1.0034609407493948,0.0,0.0,1.0106640167174274,1.0567907536935508,63.67745271080387,1.0975273332347824
11.0,2202.0,760.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,94.0,1.0
1.0537448040945303,4966.443398052565,453.6609804260154,0.9386993010319847,0.0,0.0,0.0,1.0473022481434473,0.0,0.0,104.28452427551044,3.8222304932984863
1.0,2267.0,542.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,63.0,7.0
12.0,3557.0,461.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,61.0,3.0
5.0,4785.0,877.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,90.0,2.0
12.0,4741.0,748.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,46.0,1.0
9.0,2446.0,559.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,60.0,2.0
9.0,4367.0,881.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,68.0,2.0
9.0,4383.0,675.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,81.0,2.0
7.0,3215.0,529.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,44.0,2.0
5.0,2691.0,384.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,89.0,4.0
8.0,3626.0,705.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,85.0,1.0
5.0,2428.0,815.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,32.0,3.0
9.0,4435.0,821.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,79.0,2.0
11.0,4255.0,807.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,3.0
9.566058527388519,4498.504350853624,872.0873842568069,0.0,0.0,1.0441952998160047,0.0,0.0,1.0747226772751792,0.0,45.17577930910201,0.9342021360854428
9.53667000944967,5492.0984650210075,587.9907873147783,0.9624191318197356,0.0,0.0,0.0,0.0,1.0623923700280515,0.0,27.10147004727431,3.186083424258681
3.0,3408.0,809.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,64.0,3.0
11.0,4659.0,420.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,91.0,4.0
3.0,3363.0,898.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,65.0,1.0
8.0,3962.0,771.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,37.0,1.0
3.0,4364.0,389.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,79.0,1.0
5.0,4745.0,374.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,91.0,4.0
11.0,2188.0,412.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,85.0,5.0
1.0,4528.0,686.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,91.0,1.0
10.0,4437.0,628.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,23.0,1.0
10.0,4012.0,774.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,40.0,4.0
9.0,5923.0,476.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,28.0,1.0
7.0,3900.0,525.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,74.0,1.0
9.0,5506.0,476.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,21.0,1.0
6.938574205364164,4351.307174364395,494.0877459976527,0.9228372185513669,0.0,0.0,0.0,0.9180996200106362,0.0,0.9258775251521638,80.44733149428741,3.781021762695372
1.897264019631294,4045.036353757902,616.5104101513275,0.0,1.0518901635394724,0.0,0.0,1.0857586842759321,0.0,0.9132255820941464,67.0055156874552,3.846761999085505
5.0,2272.0,490.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,66.0,7.0
4.359696084402314,3339.5339588444167,371.6260199631215,0.0,0.9764644206392531,0.0,0.0,1.0884132738879517,0.0,1.0593425481278977,65.57523028629488,4.025677155403631
8.0,5816.0,396.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,89.0,3.0
1.0,5507.0,877.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,4.0
10.0,5205.0,514.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,67.0,1.0
11.0,5077.0,776.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,38.0,1.0
11.0,4385.0,871.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,95.0,2.0
3.0,4531.0,447.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,52.0,1.0
12.0,2673.0,663.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,83.0,1.0
6.0,4140.0,421.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,22.0,1.0
4.0,3978.0,775.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,85.0,1.0
5.0,4709.0,541.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,39.0,1.0
6.0,4994.0,848.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,4.0
11.0,4628.0,706.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,37.0,1.0
8.0,3761.0,563.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,34.0,1.0
8.0,4323.0,362.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,23.0,4.0
4.0,2320.0,646.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,82.0,1.0
5.263484453050102,2803.059204821704,698.6496373796035,0.0,0.0,0.9401125425430102,0.0,1.0287796696421112,0.0,0.9804009374501736,72.6365619348877,0.927623534145125
2.0,2841.0,727.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,62.0,1.0
1.025625903262272,3785.8025838996336,748.0678400238828,0.0,1.0958602403665407,0.0,0.0,0.9522505410383386,0.0,0.0,45.587070201738314,2.1908474784110497
12.0,3729.0,440.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,79.0,2.0
4.0,5730.0,642.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,93.0,1.0
5.0,3568.0,476.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,29.0,3.0
7.0,2688.0,747.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,83.0,3.0
2.0,5943.0,864.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,75.0,4.0
2.0,3580.0,524.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,21.0,2.0
5.0,4142.0,501.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,4.0
11.72897186160805,3827.366682589572,562.45769229732,0.0,1.0340827667964483,0.0,0.0,1.0632182507465033,0.0,1.0486661732534208,20.149155484966073,2.1520665366936886
2.101912792083633,4102.979508679381,399.8605121796952,0.0,0.0,0.9459042684282702,0.9611112567352743,0.0,0.0,0.9658199798968194,91.42311068751351,0.9214998841779112
11.0,4124.0,566.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,21.0,1.0
3.9499553996815857,4108.007519116526,366.12288834605204,0.0,0.0,0.972212001101226,0.0,0.9989701190608276,0.0,0.0,81.79015993853841,1.061355087650342
7.637599596125687,5276.067747681278,560.2858236039453,0.0,0.0,0.9416963426005565,0.0,0.9949162720606017,0.0,0.0,38.27475126405296,0.9097950848760495
9.0,5891.0,522.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,59.0,1.0
10.0,5418.0,646.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,23.0,1.0
3.0,4944.0,465.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,73.0,1.0
10.034281477953753,4484.364320324973,721.434734228777,0.0,0.9875163380803257,0.0,1.022287302847139,0.0,0.0,0.9495898786322399,74.35225958216924,1.005814698783434
11.0,2596.0,835.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,82.0,1.0
10.0,5184.0,435.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,34.0,1.0
3.0,5968.0,562.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,29.0,3.0
2.0,2253.0,856.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,93.0,1.0
9.0,5457.0,793.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,54.0,1.0
9.0,3445.0,660.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,61.0,4.0
9.0,5866.0,828.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64.0,1.0
11.0,3932.0,514.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,52.0,1.0
5.0,4461.0,593.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,42.0,6.0
11.0,3013.0,713.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,41.0,1.0
2.0236612739032624,3491.5324464575633,649.9698472661369,0.0,0.9119698184730385,0.0,0.0,0.9510620486330137,0.0,0.0,80.67758264115582,1.0484687184308341
10.992970154854127,4915.821375941816,587.9484327179398,1.073015942161951,0.0,0.0,0.0,0.0,0.9579735023853366,0.0,53.08950262537968,3.196220359398221
3.0,2433.0,626.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,28.0,1.0
2.0,4212.0,493.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,69.0,2.0
9.0,4568.0,621.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,79.0,1.0
3.0,5659.0,822.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,88.0,1.0
7.0,3677.0,795.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,69.0,1.0
9.0,2259.0,451.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,94.0,1.0
2.0,3221.0,793.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,62.0,2.0
3.0,3521.0,850.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,74.0,4.0
1.0,3126.0,382.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,58.0,1.0
5.0,3341.0,601.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,65.0,2.0
9.0,2158.0,895.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,75.0,3.0
4.880050474450592,5763.229808018182,414.21285076726457,0.0,1.0129571828279442,0.0,0.0,0.0,0.9441059854529601,0.9348182096154539,66.76238718091092,1.0110083081451209
4.0,2802.0,693.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,79.0,5.0
6.0,4679.0,674.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,38.0,2.0
11.039824509620384,2706.815491551337,701.8180039614446,0.0,0.0,0.9231519362549536,0.0,1.0035281125487088,0.0,1.047676041839582,46.060063572603404,0.9901199031882151
12.0,3966.0,601.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,90.0,4.0
3.0,2582.0,470.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,63.0,4.0
4.0,2838.0,471.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,31.0,1.0
5.0,5528.0,891.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,95.0,1.0
3.0,5015.0,696.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,70.0,1.0
4.0,3020.0,615.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,28.0,2.0
12.0,5282.0,769.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,32.0,1.0
1.0,2592.0,744.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,42.0,1.0
1.0,2697.0,431.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,71.0,2.0
